,Id,Name,lat,lng
98,7041,Edward St / Yonge St,43.6570289,-79.38121389999999
99,7087,Danforth Ave / Aldridge Ave,43.6847323,-79.3171844
100,7069,Queen St W / Spadina Ave,43.6487579,-79.396276
101,7199,College St / Markham St,43.6562169,-79.4089327
102,7167,Queen St E / George St (Moss Park),43.6539577,-79.37206499999999
103,7117,Castle Frank Station,43.6736269,-79.3688482
104,7173,Cariboo Ave / Railpath Trail,43.66669419999999,-79.4583445
105,7149,Yarmouth Rd / Christie St,43.67002,-79.42092679999999
106,7189,Augusta Ave / Denison Sq,43.6538795,-79.40175049999999
107,7036,Trinity St /Front St E,43.6521014,-79.3603461
108,7025,Ted Rogers Way / Bloor St E,43.6716003,-79.3805465
109,7018,Bremner Blvd / Rees St,43.640898,-79.3877474
110,7129,Davenport Rd / Avenue Rd,43.6746978,-79.39657319999999
111,7003,Madison Ave / Bloor St W,43.6669123,-79.4027084
112,7010,King St W / Spadina Ave,43.64550450000001,-79.39492159999999
113,7029,Bay St / Bloor St W (East Side),43.6697384,-79.3894681
114,7095,Danforth Ave / Ellerbeck St,43.6766814,-79.3564203
115,7175,HTO Park (Queens Quay W),43.6377999,-79.38817089999999
116,7089,Church St  / Wood St,43.6628044,-79.3797312
117,7115,Howard St / Sherbourne St,43.6712592,-79.37643450000002
118,7104,King St E / River St,43.656868,-79.3561681
119,7097,Riverdale Park North (Broadview Ave),43.6718289,-79.3549845
120,7024,Dundonald St / Church St,43.6667003,-79.3813459
121,7072,Fleet St / Bathurst St,43.6367945,-79.3998864
122,7063,Queen's Park / Bloor St W,43.6687059,-79.3941321
123,7190,St. George St / Hoskin Ave,43.6640895,-79.3984406
124,7126,Yonge St / Yorkville Ave,43.67192259999999,-79.3874532
125,7156,Salem Ave / Bloor St W,43.6606612,-79.4316395
126,7012,Elizabeth St / Edward St (Bus Terminal),43.656114,-79.3854753
127,7053,Metro Hall Plaza,43.6462045,-79.38894239999999
128,7135,Hanna Ave / Liberty St,43.6385083,-79.4195451
129,7114,Carlton St / Parliament St,43.6644661,-79.3680473
130,7008,Wellesley St W / Queen's Park Cres,43.6636082,-79.39062969999999
131,7007,College St / Huron St,43.6582708,-79.3981902
132,7172,Strachan Ave / Princes' Blvd,43.6349123,-79.40907949999999
133,7098,"Riverdale Park South (Broadview Ave, old)",43.6718289,-79.3549845
134,7056,Parliament St / Gerrard St,43.66194780000001,-79.36702509999999
135,7162,Hayter St / La Plante Ave,43.6590542,-79.38596629999999
136,7174,Bloor St W / Dundas St W,43.6426178,-79.53223059999999
137,7061,Dalton Rd / Bloor St W,43.666087,-79.40664389999999
138,7208,80 Clinton St,43.6562478,-79.414472
139,7118,King St W / Bay St (East Side),43.6486507,-79.3802583
140,7103,Jimmie Simpson Park (Queen St E),43.6612075,-79.3447934
141,7686,Lower Jarvis St / The Esplanade,43.6482036,-79.37095599999999
142,7205,Rusholme Park Cres / College St,43.6529203,-79.4296335
143,7043,Queens Quay W / Lower Simcoe St,43.6395925,-79.3827816
144,7040,Euclid Ave / Bloor St W,43.66433199999999,-79.4148618
145,7058,Huron St / Harbord St,43.6635015,-79.400054
146,7188,Exhibition GO (Atlantic Ave),43.6358813,-79.4187599
147,7066,Willcocks St / St. George St,43.662086,-79.39761179999999
148,7211,Fort York Blvd / Garrison Rd,43.6379847,-79.4070352
149,7099,Cherry St / Mill St,43.6513508,-79.35735939999999
150,7146,Christie St / Benson Ave (Wychwood Barns),43.67992780000001,-79.42319719999999
151,7140,Macpherson Ave / Spadina Rd,43.6758521,-79.40747449999999
152,7111,King St W / Douro St,43.6411044,-79.41661719999999
153,7139,Glen Edyth Dr / Davenport Rd,43.6786726,-79.4051831
154,7071,161 Bleecker St (South of Wellesley),43.6664794,-79.37323010000001
155,7119,Sumach St / Carlton St (Riverdale Farm),43.6669731,-79.3617311
156,7108,Front St E / Cherry St,43.6526366,-79.3580917
157,7107,Cherry St / Distillery Ln,43.6503914,-79.3569076
158,7110,Queen St E / Berkeley St,43.655317,-79.3657508
159,7062,University Ave / College St (West),43.659884,-79.390349
160,7105,Queen St E / Sackville St,43.6562647,-79.361453
161,7090,Danforth Ave / Lamb Ave,43.6821189,-79.32934809999999
162,7092,Pape Subway Green P,43.6778039,-79.3444166
163,7183,St Clarens Ave / College St,43.6513303,-79.4387801
164,7155,Bathurst St / Lennox St,43.66383150000001,-79.41068349999999
165,7191,Central Tech  (Harbord St),43.6619107,-79.4086978
166,7184,Ossington Ave / College St,43.6543876,-79.4226798
167,7132,Kendal Ave / Spadina Rd,43.6703049,-79.40528719999999
168,7170,Spadina Ave / Willcocks St,43.6613272,-79.4012928
169,7091,Donlands Subway Station,43.6809818,-79.3378352
