Id,Name
7182,Sterling Rd / Dundas St W
7106,Mill St / Tannery Rd
7138,Davenport Rd / Christie St
7180,Lansdowne Subway Station
7137,Davenport Rd / Bathurst St
7178,Dundas St W / Edna Ave
7128,Yonge St / Aylmer Ave
7134,Marlborough Ave / Yonge St
7194,Mortimer Ave / Coxwell Ave
7086,Woodbine Subway Green P (Cedarvale Ave)
7088,Danforth Ave / Coxwell Ave
7083,Danforth Ave / Barrington Ave
7085,Danforth Ave / Westlake Ave
7181,Lansdowne Ave / Whytock Ave
7235,Bay St / College St (West Side) - SMART
7283,Front St W / Bay St (South Side)
7241,519 Church St
7276,Bloor St W / Balmuto St
7239,Bloor St W / Manning Ave - SMART
7220,Lake Shore Blvd W / Ellis Ave
7260,Spadina Ave / Adelaide St W
7267,Dundas St E / Pembroke St - SMART
7275,Queen St W / James St
7271,Yonge St / Alexander St - SMART
7254,Borden St / Bloor St W - SMART
7251,The Royal Ontario Museum (Bloor St Entrance)
7253,John St  / Mercer St - SMART
7269,Toronto Eaton Centre (Yonge St) - SMART
7226,Lake Shore Blvd W / The Boulevard Club
7240,Bloor St W / Shaw St - SMART
7245,Tecumseth St / Queen St W - SMART
7281,Charles St W / Balmuto St - SMART
7250,Ursula Franklin St / St. George St - SMART
7237,Ward St / Wallace Ave
7236,Thompson St / Broadview Ave - SMART
7264,Bloor St E / Huntley St - SMART
7265,Wallace Ave / Symington Ave - SMART
7272,Yonge St / Dundonald St - SMART
7280,Charles St E / Jarvis St - SMART
7256,Vanauley St / Queen St W - SMART
7259,Lower Spadina Ave / Lake Shore Blvd W
7230,Garden Ave / Roncesvalles Ave
7287,Queen St E / Pape Ave - SMART
7255,Stewart St / Bathurst St  - SMART
7274,Queen's Park Cres E / Grosvenor St - SMART
7988,High Park - Grenadier Cafe
7248,Baldwin St / Spadina Ave - SMART
7285,Spadina Ave / Harbord St - SMART
7263,Walton St / Elizabeth St - SMART
7270,Church St / Dundas St E - SMART
7233,King St W / Cowan Ave - SMART
7257,Dundas St W / St. Patrick St
7252,Robert St / Bloor St W - SMART
7242,Lake Shore Blvd W / Ontario Dr
7227,Martin Goodman Trail (Marilyn Bell Park)
7277,Chorley Park - SMART
7289,Humber Bay Shores Park East
7282,Adelaide St W / Bay St - SMART
7249,Lakeview Ave / Harrison St (Green P) – SMART
7439,Pears Av / Avenue Rd
7222,Sunnyside - Gus Ryder Pool
7284,University Ave / King St W - SMART
